method,dist,N,n_pieces,ns,js_div,sup_cdf_err,dkw_eps,dkw_ok
ITS-linear,kumaraswamy,100,100,,0.145668,0.063788,0.135810,True
ITS-linear,kumaraswamy,1000,100,,0.013556,0.028894,0.042947,True
ITS-linear,kumaraswamy,10000,100,,0.001131,0.005279,0.013581,True
ITS-linear,kumaraswamy,100000,100,,0.000114,0.002306,0.004295,True
ITS-linear,kumaraswamy,100,500,,0.155116,0.082316,0.135810,True
ITS-linear,kumaraswamy,1000,500,,0.011514,0.017308,0.042947,True
ITS-linear,kumaraswamy,10000,500,,0.000976,0.008412,0.013581,True
ITS-linear,kumaraswamy,100000,500,,0.000131,0.003446,0.004295,True
ITS-alias,kumaraswamy,100,10,,0.144398,0.078180,0.135810,True
ITS-alias,kumaraswamy,1000,10,,0.019373,0.026978,0.042947,True
ITS-alias,kumaraswamy,10000,10,,0.005875,0.014175,0.013581,False
ITS-alias,kumaraswamy,100000,10,,0.005408,0.012183,0.004295,False
ITS-alias,kumaraswamy,100,100,,0.145893,0.066992,0.135810,True
ITS-alias,kumaraswamy,1000,100,,0.011877,0.024639,0.042947,True
ITS-alias,kumaraswamy,10000,100,,0.001455,0.012518,0.013581,True
ITS-alias,kumaraswamy,100000,100,,0.000138,0.002710,0.004295,True
ITS-alias,kumaraswamy,100,500,,0.147139,0.045711,0.135810,True
ITS-alias,kumaraswamy,1000,500,,0.012811,0.023970,0.042947,True
ITS-alias,kumaraswamy,10000,500,,0.001259,0.007346,0.013581,True
ITS-alias,kumaraswamy,100000,500,,0.000104,0.002192,0.004295,True
ITS-equiprob,kumaraswamy,100,10,,0.162960,0.104471,0.135810,True
ITS-equiprob,kumaraswamy,1000,10,,0.030186,0.041085,0.042947,True
ITS-equiprob,kumaraswamy,10000,10,,0.021641,0.037353,0.013581,False
ITS-equiprob,kumaraswamy,100000,10,,0.021063,0.037730,0.004295,False
ITS-equiprob,kumaraswamy,100,100,,0.178515,0.086055,0.135810,True
ITS-equiprob,kumaraswamy,1000,100,,0.018291,0.018946,0.042947,True
ITS-equiprob,kumaraswamy,10000,100,,0.003702,0.007264,0.013581,True
ITS-equiprob,kumaraswamy,100000,100,,0.002439,0.004138,0.004295,True
ITS-equiprob,kumaraswamy,100,500,,0.158934,0.072668,0.135810,True
ITS-equiprob,kumaraswamy,1000,500,,0.013609,0.026623,0.042947,True
ITS-equiprob,kumaraswamy,10000,500,,0.002061,0.009722,0.013581,True
ITS-equiprob,kumaraswamy,100000,500,,0.000515,0.002433,0.004295,True
ARS,kumaraswamy,100,,3,0.196266,0.131767,0.135810,True
ARS,kumaraswamy,1000,,3,0.015341,0.021529,0.042947,True
ARS,kumaraswamy,10000,,3,0.001178,0.008940,0.013581,True
ARS,kumaraswamy,100000,,3,0.000106,0.003092,0.004295,True
ARS,kumaraswamy,100,,10,0.162775,0.095330,0.135810,True
ARS,kumaraswamy,1000,,10,0.015146,0.030072,0.042947,True
ARS,kumaraswamy,10000,,10,0.001268,0.007205,0.013581,True
ARS,kumaraswamy,100000,,10,0.000123,0.003186,0.004295,True
ARS,kumaraswamy,100,,20,0.129665,0.086032,0.135810,True
ARS,kumaraswamy,1000,,20,0.014081,0.032008,0.042947,True
ARS,kumaraswamy,10000,,20,0.001111,0.009494,0.013581,True
ARS,kumaraswamy,100000,,20,0.000114,0.003505,0.004295,True
ARS,kumaraswamy,100,,50,0.157616,0.088873,0.135810,True
ARS,kumaraswamy,1000,,50,0.012197,0.031062,0.042947,True
ARS,kumaraswamy,10000,,50,0.001315,0.008087,0.013581,True
ARS,kumaraswamy,100000,,50,0.000143,0.002418,0.004295,True
